"true_N","true_ICC","true_AR1","true_event_rate","signal_mode","n_events","actual_event_rate","regen","empirical_icc","empirical_ar1","naive_mean","naive_sd","s10_mean","s10_sd","s5_mean","loco_auroc","true_auroc","optimism_naive_true","resid_s10_true","resid_s5_true","resid_loco_true","optimism_naive_loco","dev_s10_loco","fit_status","folds_ok","flagged","naive_reps_valid","s10_reps_valid","s5_reps_valid","loco_valid"
20,0.1,0.5,0.2,"baseline",9,0.45,0,0.107364856661115,0.455364764242872,0.762626262626263,0.00532369976459321,0.48989898989899,0.0399099986233323,0.516161616161616,0.494949494949495,0.55894159864348,0.203684663982783,-0.0690426087444897,-0.0427799824818634,-0.0639921036939847,0.267676767676768,-0.00505050505050503,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",9,0.45,0,0.107364856661115,0.455364764242872,0.861616161616162,0.0117121394821051,0.611111111111111,0.0278669113758364,0.619191919191919,0.595959595959596,0.611889531932176,0.249726629683986,-0.000778420821064829,0.0073023872597433,-0.01592993597258,0.265656565656566,0.0151515151515151,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",4,0.2,0,0.128695631835781,0.436139010736486,0.6671875,0.0165523422729903,0.6453125,0.0499837213083753,0.63125,0.71875,0.557030694807141,0.110156805192859,0.0882818051928592,0.0742193051928592,0.161719305192859,-0.0515625,-0.0734375,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",5,0.25,0,0.128695631835781,0.436139010736486,0.752,0.0143329026636419,0.542666666666667,0.0431134020009876,0.562666666666667,0.52,0.583860257612533,0.168139742387467,-0.0411935909458665,-0.0211935909458665,-0.0638602576125331,0.232,0.0226666666666666,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",5,0.25,0,0.147742760098953,0.457289115195815,0.930666666666667,0.00562182695141044,0.694666666666667,0.0504596159270577,0.698666666666667,0.68,0.537399931400022,0.393266735266645,0.157266735266645,0.161266735266645,0.142600068599978,0.250666666666667,0.0146666666666666,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",5,0.25,0,0.147742760098953,0.457289115195815,0.930666666666667,0.00562182695141044,0.694666666666667,0.0504596159270577,0.698666666666667,0.68,0.58685717646423,0.343809490202436,0.107809490202436,0.111809490202436,0.0931428235357699,0.250666666666667,0.0146666666666666,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",4,0.2,1,0.123106904303808,0.438389662955188,0.825,0.0123251662147909,0.5734375,0.0836744321180477,0.6109375,0.578125,0.510805459325805,0.314194540674195,0.0626320406741955,0.100132040674195,0.0673195406741954,0.246875,-0.00468749999999996,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",4,0.2,1,0.123106904303808,0.438389662955188,0.825,0.0123251662147909,0.5734375,0.0836744321180477,0.6109375,0.578125,0.532629002229897,0.292370997770103,0.0408084977701026,0.0783084977701026,0.0454959977701026,0.246875,-0.00468749999999996,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",9,0.45,0,0.14585699376608,0.492044346779658,0.886868686868687,0.00796778421966279,0.734343434343434,0.0433938683335991,0.717171717171717,0.717171717171717,0.548330815280263,0.338537871588424,0.186012619063172,0.168840901891455,0.168840901891455,0.16969696969697,0.0171717171717172,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",9,0.45,0,0.14585699376608,0.492044346779658,0.886868686868687,0.00796778421966279,0.734343434343434,0.0433938683335991,0.717171717171717,0.717171717171717,0.576353901296534,0.310514785572153,0.1579895330469,0.140817815875183,0.140817815875183,0.16969696969697,0.0171717171717172,"ok",TRUE,FALSE,10,10,10,TRUE
